Year,Title,Director,Actor,Genre,Age Certification,Imdb
2004,Sankharavam,A. Mohana Gandhi,Sarath Babu,Romance,U/A,4
2004,Yours Abhi,Kiran,Kamalakar,Romance / Drama,S,7.4
2004,Nenunnanu,V. N. Aditya,Nagarjuna,Action,U,4.4
2004,Puttintiki Ra Chelli,Kodi Ramakrishna,Arjun,Drama,U/A,8.1
2004,Nenu,E. Sathibabu,Allari Naresh,Romance / Comedy,S,8.8
2004,Kushi Kushiga,G. Ram Prasad,Jagapati Babu,Romance,U,1
2004,Preminchukunnam Pelliki Randi,Relangi Narasimha Rao,Aditya Om,Romance,U/A,7.4
2004,Vignesh,Marella Seenu,Bhagawan,Romance,S,4.4
2004,Seshadri Naidu,Suresh Varma,Srihari,Drama,U,8.1
2004,Pedababu,Paruchuri Murali,Jagapati Babu,Comedy Drama,U/A,8.8
2004,Dost,Muppalaneni Siva,Siva Balaji,Drama,S,1.5
2004,Arya,Sukumar,Allu Arjun,Romance,U,7.5
2004,Naani,S. J. Suryah,Mahesh Babu,Adult romance,U/A,4.4
2004,Adavi Ramudu,B. Gopal,Prabhas,Drama,S,8.1
2004,Oka Pellam Muddu Rendo Pellam Vaddu,Teja,Rajendra Prasad,Action,U,8.8
2004,Aithe Enti,Soma Vijay Prakash,Namitha,Drama,U/A,2
2004,Kala,C. Manohar,Raja,Romance,S,7.5
2004,Megham,Sunil Kumar Reddy,Raghu,Action,U,4.4
2004,Samba,V. V. Vinayak,Jr. NTR,Romance,U/A,8.1
2004,Andaru Dongale Dorikite,Nidhi Prasad,Rajendra Prasad,Drama,S,8.8
2004,Nenu Saitham,Dhavala Satyam,Madala Ravi,Romance / Thriller,U,2.5
2004,Bhadradri Ramudu,Suresh Krissna,Taraka Rathna,Comedy,U/A,7.5
2005,Bunny,V. V. Vinayak,Allu Arjun,Romance / Drama,U/A,7.5
2005,Avunanna Kaadanna,Teja,Uday Kiran,Romance,S,4.4
2005,Muddula Mogudu Allari Pellam,Ramachandrudu,Ali,Romance,U,8.1
2005,Ayodhya,Kodi Ramakrishna,Krishna,Documentary,U/A,8.8
2005,Subash Chandra Bose,K. Raghavendra Rao,Venkatesh,Suspense Thriller,S,3.5
2005,Hungama,S. V. Krishna Reddy,Venu Madhav,Comedy,U,7.5
2005,Mr. Errababu,K Kishore,Sivaji,Comedy,U/A,4.4
2005,10 The Strangers,Rajesh Touchriver,Nagababu,Action,S,8.1
2005,Naa Praanam Kante Ekkuva,Sashi Preetham,Neeraj,Romance,U,8.8
2005,Athanokkade,Surender Reddy,Kalyan Ram,Action,U/A,4
2005,Bhadra,Boyapati Srinu,Ravi Teja,Drama,S,7.5
2005,Kumkuma,Jyothindranath Vemuri,Siva Balaji,Romance,U,4.4
2005,Narasimhudu,B. Gopal,Jr. NTR,Romance,U/A,8.1
2005,Andarivadu,Srinu Vaitla,Chiranjeevi,Action,S,8.8
2005,Meghamala O Pellam Gola,Sanjay,Santhosh Pawan,Drama,U,1
2005,Kadante Avunanile,O S Avinash,Vamsi Krishna,Comedy / Drama,U/A,7.5
2005,Jagapathi,Jonnalagadda Srinivasa Rao,Jagapati Babu,Romance,S,4.4
2005,Anna Sainyam,Not Available,Lakshmi Parvathi,Romance,U,8.1
2005,Devi Abhayam,Srinivasa Reddy,Sai Kiran,Action,U/A,8.8
2005,Anukokunda Oka Roju,Chandra Sekhar Yeleti,Jagapathi Babu,Romance,S,1.5
2005,Guru,B Jaffer,Akash,Action,U,7.5
2005,Oka Oorilo,Ramesh Verma,Raja,Action / Crime,U/A,4.4
2005,Naa Oopiri,Kanmani,Vadde Naveen,Drama,S,8.1
2005,Nireekshana,N. Seetharam,Aryan Rajesh,Action,U,8.8
2005,A Film by Aravind,Shekkar Suri,Rajiv Kanakala,Drama / Documentary,U/A,2
2005,Kanchanamala Cable TV,Parthasaradhi,Srikanth,Action,S,7.5
2005,Super,Puri Jagannadh,Nagarjuna,Drama,U,4.4
2006,Devadasu,YVS Chowdary,Ram,Drama / Romance,U,8.8
2006,Style,Raghava Lawrence,Raghava Lawrence,Drama,U/A,3
2006,Chukkallo Chandrudu,Sivakumar Ananth,Siddharth Narayan,Romance / Drama,S,7.5
2006,Lakshmi,V. V. Vinayak,Venkatesh Daggubati,Action,U,4.4
2006,Happy,A. Karunakaran,Allu Arjun,Action,U/A,8.1
2006,Shock,Harish Shankar,Ravi Teja,Romance,S,8.8
2006,Asadhyudu,Anil Krishna,Kalyan Ram,Romance,U,3.5
2006,Hope,Satish Kasetty,D. Ramanaidu,Family Drama,U/A,7.5
2006,Rajababu,Muppalaneni Shiva,Rajasekhar,Action,S,4.4
2006,Pothe Poni,Tammareddy Bharadwaja,Sindhu Tolani,Action,U,8.1
2006,Sambhavami Yuge Yuge,Ravi Varma,Anji,Romance,U/A,8.8
2006,Party,Ravi Babu,Allari Naresh,Adult romance,S,4
2006,Raam,N. Shankar,Nithiin,Romance,U,7.5
2006,Sri Ramadasu,K. Raghavendra Rao,Nagarjuna,Comedy,U/A,4.4
2006,10th Class,Chandu,Bharat,Comedy / Romance,S,8.1
2006,Pournami,Prabhu Deva,Prabhas,Drama,U,8.8
2006,Premante Inte,BV Ramana,Navdeep,Biopic,U/A,1
2006,Sarada Saradaga,S. V. Krishna Reddy,Srikanth,Comedy,S,7.5
2006,Pokiri,Puri Jagannadh,Mahesh Babu,Action,U,4.4
2006,Veerabhadra,A.S. Ravi Kumar,Nandamuri Balakrishna,Romance,U/A,8.1
2006,Bangaram,Dharani,Pawan Kalyan,Action / Drama,S,8.8
2006,Manodu,Priyadarshini Ram,Priyadarshini Ram,Drama,U,1.5
2006,Kithakithalu,E. V. V. Satyanarayana,Allari Naresh,Drama,U/A,7.5
2006,Evandoi Srivaru,Satti Babu,Srikanth,Romance / Comedy / Drama,S,4.4
2006,Godavari,Sekhar Kammula,Sumanth,Drama,U,8.1
2006,Oka V Chitram,Teja,Krishna Bhagavaan,Drama,U/A,8.8
2006,Sri Krishna 2006,V. Vijayendra Prasad,Srikanth,Satirical Comedy,S,2
2006,Kokila,Konda,Rajiv Kanakala,Romance,U,7.5
2006,Vikramarkudu,S. S. Rajamouli,Ravi Teja,Drama,U/A,4.4
2006,Astram,Suresh Krishna,Vishnu Manchu,Action,S,8.2
2006,Nandanavanam 120 km,Neelakanta,Ajay,Drama,U,8.8
2006,Ashok,Surender Reddy,Jr. NTR,Drama / Romance,U/A,2.5
2006,Kittu,B. Satya,Animated Film,Action,S,7.5
2006,Valliddari Vayasu Padahare,Bhanu Shankar,Tarun Chandra,Drama,U,4.4
2006,Amma Cheppindi,Gangaraju Gunnam,Suhasini,Action,U/A,8.2
2006,Bommarillu,Bhaskar,Siddharth,Action,S,8.8
2006,Game,G. Ram Prasad,Mohan Babu,Drama,U,3
2006,Veedhi,V Dorairaj,Sharwanand,Action / Drama,U/A,7.5
2006,Roommates,AVS,Allari Naresh,Action,S,4.4
2006,Andala Ramudu,P. Lakshmi Narayana,Sunil,Romance,U,8.2
2006,Photo,Siva Nageswara Rao,Anand,Action,U/A,8.8
2006,Seetha Ramudu,Shyam Prasad,Sivaji,Romance,S,3.5
2006,Maa Idhari Madhya,Ramesh Maddineni,Bharat,Action / Romance,U,7.5
2006,Aganthakudu,Anil Kishore,Siva Balaji,Thriller,U/A,4.4
2006,Stalin,A. R. Murugadoss,Chiranjeevi,Action,S,8.2
2006,Vanaja,Rajnesh Domalpalli,Indira Amperiani,Romance,U,8.8
2006,"Boss, I Love You",V. N. Aditya,Nagarjuna,Drama,U/A,4
2006,Chinnodu,Kanmani,Sumanth,Drama,S,7.5
2006,Indian Beauty,Shantikumar,Gopichand Lagadapati,Drama,U,4.4
2006,Tata Birla Madhyalo Laila,Srinivasa Reddy,Sivaji,Drama,U/A,8.2
2006,Maayajaalam,S. V. Krishna Reddy,Srikanth,Action,S,8.8
2006,Raraju,Udayasankar,Gopichand,Comedy,U,1
2006,Samanyudu,C. Ravi Kumar,Jagapati Babu,Romance,U/A,7.5
2006,Thrill,Veeru K,Venkat,Action,S,4.4
2006,Nuvve,Gopichand,Dhanush,Crime Thriller,U,8.2
2006,Bhagyalakshmi Bumper Draw,Nidhi Prasad,Rajendra Prasad,Romance / Comedy,U/A,8.8
2006,Gopi – Goda Meeda Pilli,Janardhana Maharshi,Allari Naresh,Romance / Thriller,S,1.5
2006,Mayabazar,Mohan Krishna Indraganti,Raja,Drama,U,7.5
2006,Sainikudu,Gunasekhar,Mahesh Babu,Period action,U/A,4.4
2006,Aadi Lakshmi,Y. Suresh,Srikanth,Horror / Thriller,S,8.2
2006,Pellaina Kothalo,Madan,Jagapati Babu,Romance,U,8.8
2006,Khatarnak,Amma Rajasekhar,Ravi Teja,Romance / Drama,U/A,2
2006,Aakhari Pagi,K. Ramana Rao,Aditya Om,Action,S,7.5
2006,Rakhi,Krishna vamsi,Jr. NTR,Drama,U,4.4
2006,Abhaddam,K. Balachander,Uday Kiran,Romance / Comedy,U/A,8.2
2006,Annavaram,Bhimaneni Srinivasa Rao,Pawan Kalyan,Romance,S,8.8
2007,Brahma – The Creator,Cherukuri Srinivasa Rao,Kiran Tej,Romance,U,2.5
2007,Desamuduru,Puri Jagannadh,Allu Arjun,Romance,U/A,7.5
2007,Yogi,V. V. Vinayak,Prabhas,Drama,S,4.4
2007,Pagale Vennela,CV Reddy,Siva Balaji,Comedy Drama,U,8.2
2007,Poramboku,Srinivas,Navdeep,Drama,U/A,8.8
2007,Premalekha Rasa,Kulashekar,Venu Malladi,Romance,S,3
2007,Maharathi,P. Vasu,Balakrishna,Adult romance,U,7.5
2007,Notebook,Chandu,Rajiv,Drama,U/A,4.4
2007,Sunny,Kamalakar,Kamalakar,Action,S,8.2
2007,Sri Satyanarayana Swamy,Nagesh Naradasi,Suman,Drama,U,8.8
2007,Madhumasam,Chandra Siddhartha,Sumanth,Romance,U/A,3.5
2007,Evadaithe Nakenti,"Samudra, Jeevitha",Rajasekhar,Action,S,7.5
2007,Anumanaspadam,Vamsy,Aryan Rajesh,Romance,U,4.4
2007,Lakshmi Kalyanam,Teja,Kalyan Ram,Drama,U/A,8.2
2007,Hara Hara Shambo Sankara,Gedhada Anand Babu,Narasimha Raju,Romance / Thriller,S,8.8
2007,Okkadunnadu,Chandra Sekhar Yeleti,Gopichand,Comedy,U,4
2007,Amma Nanna Lekunte,Yaramada Ashok Reddy,Krishna,Comedy,U/A,7.5
2007,Laila Majnu,Anji Seenu,Hari Varu,Drama,S,4.5
2007,Nekki & Neraj,Purna Adapala,Sivaji,Romance,U,8.2
2007,Vihari,R Tulasikumar,Mithun,Romance,U/A,8.8
2007,Enthavaralaina,Malladi Vinayaka,Kranthi,Drama,S,1
2007,Jagadam,Sukumar,Ram,Romance,U,7.5
2007,Gnapakam,Uppalapati Narayana Rao,Venkateswara Rao Atluri,Drama,U/A,4.5
2007,Veduka,Y Jitender,Raja,Action / Romance,S,8.2
2007,Devathalu,Kodi Ramakrishna,Rishi,Drama,U,8.8
2007,Athili Sattibabu LKG,E. V. V. Satyanarayana,Allari Naresh,Comedy,U/A,1.5
2007,Kotta Kadha,R. Venu,Vijaya Sai,Comedy,S,7.5
2007,Dhee,Srinu Vytla,Vishnu,Romance,U,4.5
2007,Classmates,K. Vijaya Bhaskar,Sumanth,Comedy / Romance,U/A,8.2
2007,Aadavari Matalaku Arthale Verule,Selvaraghavan,Venkatesh,Action,S,8.8
2007,Gundamma Gaari Manavadu,B. Jaya,Ali,Not Available,U,2
2007,Munna,Vamsi,Prabhas,Action / Drama,U/A,7.5
2007,Sri Mahalakshmi,Vijayan,Srihari,Romance / Drama,S,4.5
2007,Aata,V. N. Aditya,Siddharth,Comedy,U,8.2
2007,Raju Bhai,R Suryakiran,Manoj Manchu,Action,U/A,8.8
2007,Bhookailas,Siva Nageswara Rao,Venu Madhav,Romance,S,2.5
2007,Operation Duryodhana,Posani Krishna Murali,Srikanth,Romance,U,7.6
2007,Dubai Seenu,Srinu Vaitla,Ravi Teja,Romance,U/A,4.5
2007,Chandrahas,Siva Shakthi Datta,Harinath Policharla,Romance,S,8.2
2007,Bahumathi,S. V. Krishna Reddy,Venu,Romance / Drama,U,8.8
2007,Aa Roje,K S Kumar,Brahmanandam,Action,U/A,3
2007,Lakshyam,Sriwass,Gopichand,Drama,S,7.6
2007,Satyabhama,Srihari Nanu,Sivaji,Drama,U,4.5
2007,Toss,Priyadarshini Ram,Upendra,Drama,U/A,8.2
2007,Shankar Dada Zindabad,Prabhu Deva,Chiranjeevi,Comedy,S,8.8
2007,Allare Allari,Muppalaneni Shiva,Allari Naresh,Action,U,3.5
2007,Yamadonga,S. S. Rajamouli,Jr. NTR,Action,U/A,7.6
2007,Yamagola,Srinivas Reddy,Srikanth,Romance,S,4.5
2007,Kalyanam,Murali Krishna,Chandu,Drama,U,8.2
2007,Hello Premistara,Raj Kumar,Sairam Shankar,Comedy/ Romance / Drama,U/A,8.8
2007,Chandamama,Krishna vamsi,Navdeep,Action,S,4
2007,Julayi,Ravi Bhargavan,Santosh,Romance,U,7.6
2007,Vijayadasami,V. Samudra,Kalyan Ram,Action,U/A,4.5
2007,Chirutha,Puri Jagannadh,Ram Charan Teja,Romance,S,8.2
2007,Happy Days,Sekhar Kammula,Varun Sandesh,Family,U,8.8
2007,Godava,A. Kodandarami Reddy,Vaibhav Reddy,Drama,U/A,1
2007,Tulasi,Boyapati Srinu,Venkatesh,Drama,S,7.6
2007,Athidi,Surender Reddy,Mahesh Babu,Action,U,4.5
2007,Nee Navve Chaalu,Mallikharjuna Eluri,Sivaji,Romance,U/A,8.2
2007,Bhajantrilu,M. S. Narayana,Sivaji,Romance,S,8.8
2007,Nava Vasantham,K Shahjahan,Tarun Kumar,Action,U,1.5
2007,Seema Sastri,G. Nageswara Reddy,Allari Naresh,Comedy,U/A,7.6
2007,Takkari,Amma Rajasekhar,Nithiin,Romance,S,4.5
2007,Athadevaru,Teertha,Keshava,Romance,U,8.2
2007,Mantra,Osho Tulasiram,Sivaji,Drama,U/A,8.8
2007,Anasuya,Ravi Babu,Bhumika Chawla,Action,S,2
2007,Don,Lawrence,Nagarjuna,Horror,U,7.6
2007,Bangaru Konda,Kolla Nageswara Rao,Rishi,Action,U/A,4.5
2008,Aapada Mokkulavaadu,Posani Krishna Murali,Nagendra Babu,Romance / Action,S,8.2
2008,Krishna,V. V. Vinayak,Ravi Teja,Action,U,8.8
2008,Okka Magadu,Y. V. S. Chowdary,Balakrishna Nandamuri,Drama,U/A,2.5
2008,Pourudu,Raj Aditya,Sumanth,Action,S,7.6
2008,Swagatam,Dasaradh,Jagapati Babu,Action,U,4.5
2008,Mr. Medhavi,Neelakanta,Raja,Action / Romance,U/A,8.2
2008,Highway,V. Manoj Kumar,Sai Kumar,Action,S,8.8
2008,Vaana,M. S. Raju,Vinay Rai,Comedy,U,3
2008,Krishnarjuna,P. Vasu,Vishnu Manchu,Comedy,U/A,7.6
2008,Homam,J. D. Chakravarthy,Jagapati Babu,Romance,S,4.5
2008,Vishaka Express,Mullapudi Vara,Allari Naresh,Action,U,8.2
2008,Sundarakanda,Bapu,Charmee Kaur,Horror / Thriller / Drama,U/A,8.8
2008,Black & White,Srikanth Vemulapalli,Rajeev Kanakala,Comedy,S,3.5
2008,Andamaina Manasulo,R. P. Patnaik,Rajiv,Horror,U,7.6
2008,Ontari,Ramana,Gopichand,Romance,U/A,4.5
2008,Idi Sangathi,Chandra Siddhartha,Tabu,Drama / Action,S,8.2
2008,Nee Sukhame Ne Koruthunna,Giri Babu,Raja,Romance / Drama,U,8.8
2008,Pelli Kani Prasad,Satyam Dwarapudi,Allari Naresh,Drama,U/A,1
2008,Gamyam,Radhakrishna Jagarlamudi,Allari Naresh,Action,S,7.6
2008,Mangathaayaru Tiffin Centre,Venky,Mumaith Khan,Comedy,U,4.5
2008,Premabandham,Agathiyan,Aakash,Romance,U/A,8.2
2008,Nagaram,Srinivas C. C,Meka Srikanth,Drama,S,8.8
2008,John Appa Rao 40 Plus,Kuchipudi Venkat,Krishna Bhagawan,Romance / Drama,U,1.5
2008,Buddha,Allani Sridhar,Sunil Sharma,Romance,U/A,7.6
2008,Aatadista,A.S. Ravi Kumar,Nithiin,Romance,S,4.5
2008,Abbo Aadavallu,T. N. Raju,Saila Katri,Documentary,U,8.2
2008,Jalsa,Trivikram Srinivas,Pawan Kalyan,Suspense Thriller,U/A,8.8
2008,Bhale Dongalu,K. Vijaya Bhaskar,Tarun,Comedy,S,2
2008,Kalidasu,G. Ravicharan Reddy,Sushanth,Comedy,U,7.6
2008,Bhadradri,Mallikarjuna,Raghumudri Srihari,Action,U/A,4.5
2008,Michael Madana Kamaraju,Nidhi Prasad,Prabhu Deva,Romance,S,8.2
2008,Bommana Brothers Chandana Sisters,Srinivasa Reddy,Allari Naresh,Action,U,8.8
2008,Donga Sachinollu,Raja Vannemreddy,Krishna Bhagavan,Drama,U/A,2.5
2008,Bujjigadu,Puri Jagannadh,Prabhas,Romance,S,7.6
2008,Kantri,Meher Ramesh,Jr. NTR,Romance,U,4.5
2008,Kshudra,Nagul,Priyanka,Action,U/A,8.2
2008,Pandurangadu,K. Raghavendra Rao,Balakrishna Nandamuri,Drama,S,8.8
2008,Parugu,Bhaskar,Allu Arjun,Comedy / Drama,U,3
2008,Premabhishekam,Vikram Gandhi,Venu Madhav,Romance,U/A,7.6
2008,Victory,Ravi C. Kumar,Nithiin,Romance,S,4.5
2008,Ready,Sreenu Vaitla,Ram,Action,U,8.2
2008,Konchem Kothaga,Raju Rajendra Prasad,Venkat,Romance,U/A,8.9
2008,Adhyakshaa,Marudhuri Raja,Raghu Babu,Action,S,3.5
2008,Brahmanandam Drama Company,E. Srikanth Nahatha,Sivaji,Action / Crime,U,7.6
2008,Gajibiji,K. Vasu,Ali,Drama,U/A,4.5
2008,Hare Ram,Harsha Vardhan,Kalyan Ram,Action,S,8.2
2008,Maa Ayana Chanti Pilladu,Raja Vannem Reddy,Sivaji,Drama / Documentary,U,8.9
2008,Ullasamga Utsahamga,A. Karunakaran,Yasho Sagar,Action,U/A,4
2008,Aalayam,Muthyala Subbaiah,Sivaji,Drama,S,7.6
2008,Kathanayakudu,P. Vasu,Rajinikanth,Comedy,U,4.5
2008,Baladur,Udayasankar,Ravi Teja,Action,U/A,8.2
2008,Siddu from Sikakulam,Eashwar,Allari Naresh,Comedy,S,8.9
2008,Adivishnu,Bharat Parepalli,Suman,Action,U,1.1
2008,"Ankit, Pallavi & Friends",Hari Yelleti,Nikhil Siddharth,Action,U/A,7.6
2008,Ashta Chamma,Mohan Krishna Indraganti,Nani,Action,S,4.5
2008,Call Center,Kanmani,Vamsi Krishna,Comedy,U,8.2
2008,Chintakayala Ravi,Yogie,Venkatesh,Action,U/A,8.9
2008,Gunde Jhallumandi,Madan,Uday Kiran,Romance,S,1.2
2008,King,Sreenu Vaitla,Nagarjuna Akkineni,Romance / Drama,U,7.6
2008,Mallepuvvu,V. Samudra,Bhumika Chawla,Drama,U/A,4.5
2008,Raksha,Vamsikrishna Akella,Jagapathi Babu,Action / Romance,S,8.2
2008,Souryam,J Siva Kumar,Gopichand,Action,U,8.9
2008,Friends Colony,Achana Srinivas,Anil kumar,Action,U/A,1.3
2008,College Days to Marriage Days,Premchand,Sandeep,Comedy,S,7.6
2008,Gorintaku,V. R. Prathap,Dr. Rajasekhar,Romance,U,4.5
2008,Hero,G. V. Sudhakar Naidu,Nithiin,Drama,U/A,8.2
2008,Kousalya Supraja Rama,Surya Prasad,Meka Srikanth,Action,S,8.9
2008,Keka,Teja,Raja,Romance,U,1.4
2008,Kotha Bangaru Lokam,Srikanth Addala,Varun Sandesh,Fantasy / Horror,U/A,7.6
2008,Nenu Meeku Telusa?,Ajay Sastry,Manoj Manchu,Mystery,S,4.5
2008,Ninna Nedu Repu,Lakshmikanth Chenna,Ravi Krishna,Comedy,U,8.2
2008,Rainbow,V. N. Aditya,Rahul,Action,U/A,8.9
2008,Avakai Biryani,Anish Kuruvilla,Kamal Kamaraju,Romance,S,1.5
2008,Blade Babji,Devi Prasad,Allari Naresh,Action,U,7.6
2008,Deepavali,Haribabu,Venu Thottempudi,Comedy,U/A,4.5
2008,Devarakonda Veeraiah,R. Narayana Murthy,R.Narayana Murthy,Romance / Comedy,S,8.2
2008,Ekaloveyudu,RK,Uday Kiran,Action,U,8.9
2008,Indrajith,V. R. Prasad,Sai Kumar,Action,U/A,1.6
2008,Kurkure,Junaid,Duvvasi Mohan,Action,S,7.6
2008,Sri Medaram Sammakka Sarakka Mahatyam,Vemuganti,Uday Babu,Drama,U,4.5
2008,Vinayakudu,Sai Kiran Adivi,Sonia Deepti,Romance,U/A,8.2
2008,Andamaina Abaddam,Raviraja Pinisetty,Raja,Drama,S,8.9
2008,Chedugudu,P R Nagaraju,Jayanth,Drama,U,1.7
2008,City Life,Souda,Venu Madhav,Action / Drama,U/A,7.6
2008,Dhyeyam,Jayasimha Reddy,Sai Kiran,Romance,S,4.5
2008,Dongala Bandi,Satish Vegesna,Allari Naresh,Action,U,8.2
2008,Ek Police,Kodi Ramakrishna,Nagababu,Adult drama,U/A,8.9
2008,Myaav,Vidya,Bhushan,Action,S,1.8
2008,Nachavule,Ravi Babu,Tanish,Action,U,7.6
2008,Neninthe,Puri Jagannadh,Ravi Teja,Adult romance,U/A,4.5
2009,Sasirekha Parinayam,Krishna vamsi,Tarun,Drama / Romance,S,8.2
2009,Indumathi,Harsha P Reddy,Shweta Bhardwaj,Drama,U,8.9
2009,Maska,B. Gopal,Ram,Romance / Drama,U/A,1.9
2009,Arundhati,Kodi Ramakrishna,Anushka,Action,S,7.6
2009,Shh...,Hari Charan Prasad,Shafi,Action,U,4.5
2009,Bank,Arun Kumar,Jackie Shroff,Romance,U/A,8.2
2009,Konchem Ishtam Konchem Kashtam,Kishore Kumar,Siddharth,Romance,S,8.9
2009,Satyameva Jayathe,Jeevitha,Rajasekhar,Family Drama,U,2.1
2009,Siddham,J. D. Chakravarthy,Jagapati Babu,Action,U/A,7.6
2009,Drona,J. Karun Kumar,Nitin,Action,S,4.5
2009,Naa Girlfriend Baga Rich,M. Nagendra Kumar,Sivaji,Romance,U,8.2
2009,Aa Okkadu,N. S. Murthy,Ajay,Adult romance,U/A,8.9
2009,Mesthri,Suresh Krishna,Dasari Narayana Rao,Romance,S,2.2
2009,Malli Malli,Raaj Adithya,Skanda,Comedy,U,7.6
2009,Sontha Ooru,P. Sunil Kumar Reddy,Raja,Comedy / Romance,U/A,4.5
2009,Manorama,V. Eeswar Reddy,Charmy,Drama,S,8.2
2009,Billa,Meher Ramesh,Prabhas,Biopic,U,8.9
2009,Punnami Naagu,A. Kodandarami Reddy,Mumaith Khan,Comedy,U/A,2.3
2009,Mitrudu,Mahadev,Bala Krishna,Action,S,7.6
2009,Kick,Surender Reddy,Ravi Teja,Romance,U,4.5
2009,Prayanam,Chandra Sekhar Yeleti,Manoj Manchu,Action / Drama,U/A,8.2
2009,Neramu Siksha,Vijaya Nirmala,Krishna,Drama,S,8.9
2009,Kavya's Diary,Karuna Prakash,Charmy Kaur,Drama,U,2.4
2009,Boni,Raj Pippalla,Sumanth,Romance / Comedy / Drama,U/A,7.6
2009,Naa Style Veru,G. Ram Prasad,Rajasekhar,Drama,S,4.5
2009,Raju Maharaju,Durga Shankaranadh,Mohan Babu,Drama,U,8.2
2009,Current,Surya Pratap,Sushanth,Satirical Comedy,U/A,8.9
2009,Evaraina Epudaina,Marthand K. Shankar,Varun Sandesh,Romance,S,2.5
2009,Oye!,Anand Ranga,Siddharth,Drama,U,7.6
2009,Gopi Gopika Godavari,Vamsi,Venu,Action,U/A,4.5
2009,Kalavaramaye Madilo,Satish Kasetty,Kamal Kamaraju,Drama,S,8.2
2009,Magadheera,S. S. Rajamouli,Ram Charan Teja,Drama / Romance,U,8.9
2009,Anjaneyulu,Parasuram (Bujji),Ravi Teja,Action,U/A,2.6
2009,Josh,Vasu Varma,Naga Chaitanya,Drama,S,7.6
2009,Sankham,Siva,Gopichand,Action,U,4.6
2009,Baanam,Chaitanya Dantuluri,Nara Rohit,Action,U/A,8.2
2009,Ganesh,M. Saravanan,Ram,Drama,S,8.9
2009,Eenadu,Chakri Toleti,Kamal Haasan,Action / Drama,U,2.7
2009,Ninnu Kalisaka,Siva Nageswara Rao,Santosh Samrat,Action,U/A,7.6
2009,Mahatma,Krishna vamsi,Srikanth,Romance,S,4.6
2009,Jayeebhava,Naren Kondepati,Kalyan Ram,Action,U,8.2
2009,Ek Niranjan,Puri Jagannadh,Prabhas,Romance,U/A,8.9
